condition,cutoff,pct_correct_15deg,pct_correct_45deg,cutoff_low,cutoff_high
0,3.9,20.01338686,48.53569732,0.0,3.9
0,6.0,19.03699273,47.44259136,0.0,6.0
0,8.0,19.0803846,48.29881153,0.0,8.0
0,10.3,21.32391381,61.20781746,0.0,10.3
0,12.0,41.98567837,78.27582692,0.0,12.0
0,14.5,48.0429995,91.75331257,0.0,14.5
0,16.0,60.46438539,96.29107178,0.0,16.0
1,3.8,61.39825992,95.74890584,3.8,20.0
1,5.8,53.4313229,85.5915279,5.8,20.0
1,7.5,38.27451188,74.81514517,7.5,20.0
1,10.0,26.8080700,56.31718987,10.0,20.0
1,13.2,26.52438149,53.96128291,13.2,20.0
1,15.3,17.34279214,42.01015927,15.3,20.0