cf,bandwidth,rms_error,rms_error_std
2000,0,22.17748184,3.72108863
4000,0,19.25022545,3.931950319
250,0,14.43761749,4.204830152
2000,0.05,17.96024806,1.240362877
4000,0.05,15.51673319,1.054308445
250,0.05,11.73362642,1.128730218
2000,0.1,16.42219809,1.240362877
4000,0.1,14.11512314,1.017097559
250,0.1,10.64210708,1.041904816
2000,0.166666667,14.36319571,1.190748362
4000,0.166666667,13.18485098,0.942675786
250,0.166666667,9.935100245,1.128730218
2000,0.333333333,12.47784414,1.265170134
4000,0.333333333,10.79095063,1.054308445
250,0.333333333,9.352129693,1.165941104
2000,0.166666667,14.83453361,2.00938786
4000,0.166666667,12.68870583,1.30238102
250,0.166666667,10.30720911,1.401610051
2000,0.333333333,12.84995301,2.096213261
4000,0.333333333,11.28709578,0.818639499
250,0.333333333,9.897889359,1.500839081
2000,1,7.652832552,1.848140686
4000,1,8.260610362,1.289977392
250,1,8.942809944,1.748911656
2000,2,5.817095495,1.327188278
4000,2,6.97063297,1.513242709
250,2,7.069862,1.513242709