background_condition,cutoff_channel,cutoff_channel_freq,srt_mean,srt_sem,tag_expt,tag_model,srt_list
3.0,0.0,100.0,-0.7,0.6974522292993619,hopkins_moore_2009,human,
3.0,8.0,548.0,-2.047133757961782,0.678343949044586,hopkins_moore_2009,human,
3.0,16.0,1605.0,-2.7828025477706984,0.8980891719745241,hopkins_moore_2009,human,
3.0,24.0,4102.0,-2.400636942675157,0.7834394904458595,hopkins_moore_2009,human,
3.0,32.0,10000.0,-2.9929936305732463,0.9649681528662404,hopkins_moore_2009,human,
4.0,0.0,100.0,-7.4,1.5859872611464976,hopkins_moore_2009,human,
4.0,8.0,548.0,-10.849044585987262,1.3184713375796155,hopkins_moore_2009,human,
4.0,16.0,1605.0,-11.412738853503184,1.2229299363057313,hopkins_moore_2009,human,
4.0,24.0,4102.0,-12.425477707006367,1.3471337579617835,hopkins_moore_2009,human,
4.0,32.0,10000.0,-13.619745222929934,1.2324840764331206,hopkins_moore_2009,human,
3.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC0320/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC1000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,0.0,80.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,4.0,242.87576293945312,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,8.0,491.6507873535156,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,12.0,871.6275024414062,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,16.0,1452.0006103515625,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,20.0,2338.45751953125,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,24.0,3692.423583984375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,28.0,5760.4599609375,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
4.0,32.0,8000.0,1.0000000063577805,0.0,hopkins_moore_2009,models/spkr_recognition/IHC3000/arch0_00??,"[1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805, 1.0000000063577805]"
3.0,0.0,80.0,-3.6003137955485784,0.036185718210168714,hopkins_moore_2009,models/spkr_word_recognition/IHC0050/arch0_00??,"[-3.5197765091424773, -3.455602534376533, -3.684009413210517, -3.7360144299578244, -3.7116293282945736, -3.576787407364803, -3.7610779471879194, -3.46955816676799, -3.582068203172074, -3.5066140160110746]"
3.0,4.0,242.87576293945312,-3.1767691189690663,0.05724699971269172,hopkins_moore_2009,models/spkr_word_recognition/IHC0050/arch0_00??,"[-3.3240233616746, -2.9751979899182586, -3.2080967364592303, -3.4617532622924463, -3.3214046542124014, -3.1282702068492365, -3.1730723543891997, -3.245190824527907, -3.0939236201639955, -2.836758179203386]"
